Art.Nr.;verfügbarer Bestand;Status
241-0005;550;0
241-0002;800;0
241-0003;1296;0
241-0085;30;0
241-0086;0;0
241-0087;50;0
241-0081;10;0
241-0082;10;0
241-0084;10;0
241-0015;900;0
241-0004;1700;0
241-0006;1190;0
241-0007;1000;0
241-0008;830;0
241-0009;2000;0
241-0010;155;0
241-0011;850;0
241-0016;400;0
241-0017;1900;0
241-0018;1600;0
241-0019;729;0
241-0020;51;0
241-0021;319;0
241-0080;1330;0
241-0022.2;3;0
241-0022.3;35;0
241-0022.4;191;0
241-0022.5;174;0
241-0022.6;75;0
241-0023.6;5;0
241-0024.2;4;0
241-0024.3;56;0
241-0024.4;48;0
241-0024.5;89;0
241-0024.6;15;0
241-0024.7;9;0
241-0024.8;0;0
241-0025.3;13;0
241-0025.4;13;0
241-0025.5;6;0
241-0025.6;14;0
241-0026.3;8;0
241-0026.4;4;0
241-0026.5;7;0
241-0026.6;0;0
241-0027.3;2;0
241-0027.7;2;0
241-0028;101;0
241-0029;206;0
241-0030;32;0
241-0031;766;0
241-0032;0;0
241-0033;88;0
241-0034;40;0
241-0035;45;0
241-0036;207;0
241-0037;148;0
241-0038;38;0
241-0039;91;0
241-0040;108;0
241-0041;0;0
241-0042.1;131;0
241-0042.2;219;0
241-0043;0;0
241-0044;308;0
241-0045;0;0
241-0046;1865;0
241-0047;0;0
241-0048;0;0
241-0049;408;0
241-0050;0;0
241-0051;728;0
241-0052;2010;0
241-0053;2255;0
241-0054;231;0
241-0055;142;0
241-0056;320;0
241-0057;92;0
241-0058;0;0
241-0059;76;0
241-0060;220;0
241-0061;62;0
241-0062;0;0
241-0063;103;0
241-0064;0;0
241-0065;51;0
241-0066;0;0
241-0067;35;0
241-0068;0;0
241-0069;279;0
241-0070;34;0
241-0071;0;0
241-0072;752;0
241-0073;53;0
241-0074;315;0
241-0075;74;0
241-0076;250;0
241-0077;169;0
241-0078;61;0
241-0079;0;0
241-0083;0;0
241-0012;685;0
241-0013;1100;0
241-0014;1166;0
241-0088;0;0
241-0001;600;0
241-0089;648;0
241-0090;0;0
241-0091;127;0
241-0092;0;0
241-0093;6;0
241-0094;724;0
241-0022.7;31;0
241-0095;680;0
241-0096;1200;0
241-0097;672;0
241-0098;250;0
